app_name,start_time,end_time,timedelta,productive
VSCode,2021-11-07 11:15:33,2021-11-07 13:47:21,0 days 02:31:48,True
VSCode,2023-10-30 19:38:48,2023-10-30 21:33:18,0 days 01:54:30,True
youtube.com,2024-05-29 15:27:20,2024-05-29 18:13:10,0 days 02:45:50,False
Terminal,2023-05-23 07:23:18,2023-05-23 10:16:02,0 days 02:52:44,True
Terminal,2022-02-25 00:19:33,2022-02-25 03:28:49,0 days 03:09:16,True
youtube.com,2022-01-29 06:18:09,2022-01-29 07:58:25,0 days 01:40:16,False
google.com,2023-02-19 12:53:08,2023-02-19 15:54:06,0 days 03:00:58,True
Cursor,2021-11-22 20:29:36,2021-11-22 22:45:49,0 days 02:16:13,True
VSCode,2024-03-11 00:25:35,2024-03-11 02:15:24,0 days 01:49:49,True
Cursor,2023-08-26 17:41:10,2023-08-26 21:03:45,0 days 03:22:35,True
VSCode,2022-01-29 23:39:15,2022-01-30 02:23:15,0 days 02:44:00,True
Cursor,2024-01-31 09:29:02,2024-01-31 12:07:30,0 days 02:38:28,True
youtube.com,2024-07-24 09:32:24,2024-07-24 10:57:51,0 days 01:25:27,False
tiktok.com,2021-10-29 15:36:22,2021-10-29 17:04:29,0 days 01:28:07,False
Terminal,2022-06-02 15:43:26,2022-06-02 17:30:24,0 days 01:46:58,True
VSCode,2023-11-15 01:49:27,2023-11-15 02:08:17,0 days 00:18:50,True
tiktok.com,2024-09-03 08:50:53,2024-09-03 12:07:47,0 days 03:16:54,False
tiktok.com,2022-06-04 00:31:59,2022-06-04 01:29:32,0 days 00:57:33,False
tiktok.com,2024-09-26 01:16:40,2024-09-26 02:52:42,0 days 01:36:02,False
google.com,2023-01-25 10:19:51,2023-01-25 11:32:03,0 days 01:12:12,True
google.com,2022-04-15 03:08:52,2022-04-15 04:22:03,0 days 01:13:11,True
Cursor,2021-11-17 04:05:49,2021-11-17 07:47:53,0 days 03:42:04,True
google.com,2024-08-01 18:47:28,2024-08-01 20:29:26,0 days 01:41:58,True
Terminal,2023-08-15 06:24:20,2023-08-15 07:02:27,0 days 00:38:07,True
Terminal,2023-04-01 17:30:06,2023-04-01 19:15:57,0 days 01:45:51,True
tiktok.com,2023-02-14 12:35:36,2023-02-14 15:18:39,0 days 02:43:03,False
VSCode,2024-01-20 16:01:14,2024-01-20 17:00:18,0 days 00:59:04,True
google.com,2024-06-21 20:55:40,2024-06-21 22:55:30,0 days 01:59:50,True
youtube.com,2023-12-29 20:54:04,2023-12-29 23:44:12,0 days 02:50:08,False
Terminal,2022-12-22 13:27:12,2022-12-22 15:51:29,0 days 02:24:17,True
tiktok.com,2024-04-08 23:47:45,2024-04-09 01:09:19,0 days 01:21:34,False
Terminal,2023-03-16 20:04:06,2023-03-16 20:53:17,0 days 00:49:11,True
Terminal,2022-08-24 14:29:24,2022-08-24 14:33:22,0 days 00:03:58,True
VSCode,2022-07-26 21:46:51,2022-07-26 23:25:28,0 days 01:38:37,True
VSCode,2022-09-07 06:32:41,2022-09-07 07:39:32,0 days 01:06:51,True
Cursor,2024-04-19 02:23:17,2024-04-19 02:42:10,0 days 00:18:53,True
Cursor,2022-12-12 16:58:11,2022-12-12 19:45:13,0 days 02:47:02,True
google.com,2022-06-13 13:51:32,2022-06-13 14:24:26,0 days 00:32:54,True
tiktok.com,2023-02-20 19:50:13,2023-02-20 23:49:06,0 days 03:58:53,False
Cursor,2024-06-11 02:29:51,2024-06-11 05:27:16,0 days 02:57:25,True
VSCode,2022-06-10 02:52:08,2022-06-10 04:13:12,0 days 01:21:04,True
VSCode,2021-11-28 04:50:34,2021-11-28 05:08:11,0 days 00:17:37,True
google.com,2024-03-28 16:17:47,2024-03-28 17:44:28,0 days 01:26:41,True
tiktok.com,2024-01-17 19:21:59,2024-01-17 20:19:59,0 days 00:58:00,False
Cursor,2024-09-29 10:05:35,2024-09-29 11:18:36,0 days 01:13:01,True
tiktok.com,2022-07-10 06:01:54,2022-07-10 06:21:27,0 days 00:19:33,False
tiktok.com,2022-08-02 13:45:48,2022-08-02 14:50:07,0 days 01:04:19,False
Cursor,2024-02-05 21:50:45,2024-02-06 00:37:58,0 days 02:47:13,True
Terminal,2023-10-11 21:37:18,2023-10-12 00:40:20,0 days 03:03:02,True
Cursor,2023-07-08 12:51:59,2023-07-08 16:33:25,0 days 03:41:26,True
VSCode,2022-05-29 09:14:22,2022-05-29 09:16:54,0 days 00:02:32,True
youtube.com,2021-11-05 14:03:43,2021-11-05 17:52:33,0 days 03:48:50,False
tiktok.com,2024-07-25 17:25:17,2024-07-25 19:53:43,0 days 02:28:26,False
Cursor,2022-10-02 19:11:12,2022-10-02 22:18:00,0 days 03:06:48,True
youtube.com,2022-01-31 04:28:38,2022-01-31 05:21:27,0 days 00:52:49,False
youtube.com,2023-04-30 20:08:30,2023-04-30 20:36:04,0 days 00:27:34,False
google.com,2022-11-01 13:29:13,2022-11-01 14:58:01,0 days 01:28:48,True
Cursor,2023-02-07 05:10:00,2023-02-07 06:17:31,0 days 01:07:31,True
google.com,2023-12-02 21:53:38,2023-12-02 22:43:23,0 days 00:49:45,True
VSCode,2022-11-09 10:10:37,2022-11-09 10:38:52,0 days 00:28:15,True
Cursor,2023-08-29 19:46:41,2023-08-29 22:14:53,0 days 02:28:12,True
VSCode,2024-05-13 23:00:55,2024-05-14 02:23:32,0 days 03:22:37,True
Terminal,2021-12-01 17:51:28,2021-12-01 19:14:56,0 days 01:23:28,True
Cursor,2023-03-04 03:35:18,2023-03-04 05:06:01,0 days 01:30:43,True
google.com,2024-09-10 18:58:21,2024-09-10 22:40:54,0 days 03:42:33,True
tiktok.com,2024-04-28 07:13:37,2024-04-28 09:17:08,0 days 02:03:31,False
youtube.com,2022-01-07 02:26:05,2022-01-07 05:19:37,0 days 02:53:32,False
Terminal,2022-07-03 17:26:46,2022-07-03 20:17:43,0 days 02:50:57,True
VSCode,2023-02-23 11:46:11,2023-02-23 15:35:54,0 days 03:49:43,True
google.com,2022-07-30 10:51:33,2022-07-30 12:52:05,0 days 02:00:32,True
Cursor,2023-04-30 01:23:27,2023-04-30 02:55:58,0 days 01:32:31,True
google.com,2023-08-29 07:11:40,2023-08-29 08:59:50,0 days 01:48:10,True
Cursor,2024-05-13 20:38:33,2024-05-13 22:57:35,0 days 02:19:02,True
tiktok.com,2022-06-15 10:10:18,2022-06-15 11:21:36,0 days 01:11:18,False
Cursor,2022-11-18 16:04:16,2022-11-18 19:53:05,0 days 03:48:49,True
Cursor,2023-01-03 08:53:41,2023-01-03 09:13:20,0 days 00:19:39,True
Cursor,2022-01-29 01:28:44,2022-01-29 03:56:08,0 days 02:27:24,True
Cursor,2023-10-29 22:59:21,2023-10-30 00:25:18,0 days 01:25:57,True
Terminal,2022-11-27 16:50:10,2022-11-27 18:36:22,0 days 01:46:12,True
Terminal,2021-11-06 20:38:05,2021-11-06 23:34:35,0 days 02:56:30,True
youtube.com,2023-02-07 12:40:17,2023-02-07 15:22:21,0 days 02:42:04,False
tiktok.com,2023-05-02 08:05:44,2023-05-02 11:34:22,0 days 03:28:38,False
VSCode,2023-07-13 21:46:29,2023-07-13 22:24:36,0 days 00:38:07,True
youtube.com,2023-06-28 20:30:08,2023-06-28 21:29:54,0 days 00:59:46,False
youtube.com,2021-12-05 21:22:05,2021-12-05 21:39:42,0 days 00:17:37,False
Cursor,2022-12-10 06:50:06,2022-12-10 07:05:24,0 days 00:15:18,True
VSCode,2022-09-13 07:13:31,2022-09-13 08:55:49,0 days 01:42:18,True
youtube.com,2023-01-05 18:16:24,2023-01-05 20:30:37,0 days 02:14:13,False
google.com,2022-01-06 04:47:36,2022-01-06 05:31:53,0 days 00:44:17,True
tiktok.com,2022-11-15 19:52:47,2022-11-15 21:59:32,0 days 02:06:45,False
Cursor,2022-07-27 19:09:06,2022-07-27 20:31:17,0 days 01:22:11,True
tiktok.com,2023-02-27 06:55:16,2023-02-27 09:19:19,0 days 02:24:03,False
youtube.com,2024-05-14 03:37:52,2024-05-14 05:03:30,0 days 01:25:38,False
youtube.com,2023-04-06 00:12:30,2023-04-06 01:17:43,0 days 01:05:13,False
Terminal,2023-07-22 15:31:20,2023-07-22 19:27:42,0 days 03:56:22,True
Cursor,2022-06-18 22:08:16,2022-06-19 01:41:03,0 days 03:32:47,True
tiktok.com,2024-07-09 01:12:08,2024-07-09 04:58:17,0 days 03:46:09,False
tiktok.com,2024-03-03 00:25:37,2024-03-03 00:56:02,0 days 00:30:25,False
youtube.com,2024-02-14 23:53:48,2024-02-15 00:15:09,0 days 00:21:21,False
tiktok.com,2024-01-30 09:21:40,2024-01-30 09:26:39,0 days 00:04:59,False
tiktok.com,2022-10-28 12:40:24,2022-10-28 15:48:49,0 days 03:08:25,False
google.com,2024-05-12 07:44:03,2024-05-12 09:55:29,0 days 02:11:26,True
google.com,2024-09-14 16:32:47,2024-09-14 17:50:21,0 days 01:17:34,True
youtube.com,2021-12-26 00:07:39,2021-12-26 02:33:18,0 days 02:25:39,False
Terminal,2024-03-26 00:38:14,2024-03-26 01:08:58,0 days 00:30:44,True
youtube.com,2022-09-30 05:28:48,2022-09-30 06:48:13,0 days 01:19:25,False
youtube.com,2023-01-20 11:21:53,2023-01-20 13:32:47,0 days 02:10:54,False
Cursor,2022-12-18 00:21:21,2022-12-18 01:10:04,0 days 00:48:43,True
google.com,2022-03-04 22:05:31,2022-03-05 00:16:48,0 days 02:11:17,True
tiktok.com,2023-07-07 14:01:25,2023-07-07 15:48:56,0 days 01:47:31,False
google.com,2022-07-02 08:43:29,2022-07-02 11:56:12,0 days 03:12:43,True
Terminal,2022-03-30 15:25:48,2022-03-30 18:12:22,0 days 02:46:34,True
google.com,2024-03-21 04:27:58,2024-03-21 08:17:26,0 days 03:49:28,True
Terminal,2022-04-08 23:39:47,2022-04-09 00:04:10,0 days 00:24:23,True
youtube.com,2023-01-06 03:34:56,2023-01-06 04:09:57,0 days 00:35:01,False
Cursor,2023-11-26 22:03:45,2023-11-27 01:56:59,0 days 03:53:14,True
google.com,2023-04-20 00:10:54,2023-04-20 02:33:08,0 days 02:22:14,True
tiktok.com,2024-09-27 21:19:39,2024-09-27 23:40:04,0 days 02:20:25,False
youtube.com,2022-03-22 09:05:11,2022-03-22 10:42:16,0 days 01:37:05,False
Terminal,2024-10-23 06:57:13,2024-10-23 08:06:58,0 days 01:09:45,True
Cursor,2022-01-18 01:11:58,2022-01-18 03:09:17,0 days 01:57:19,True
Terminal,2023-08-31 13:57:25,2023-08-31 17:43:31,0 days 03:46:06,True
tiktok.com,2024-10-07 23:00:52,2024-10-08 01:52:52,0 days 02:52:00,False
Cursor,2024-05-13 00:25:23,2024-05-13 03:45:06,0 days 03:19:43,True
youtube.com,2024-03-06 23:24:07,2024-03-06 23:40:06,0 days 00:15:59,False
youtube.com,2023-06-10 23:31:00,2023-06-11 02:37:22,0 days 03:06:22,False
VSCode,2023-03-03 14:15:20,2023-03-03 16:17:00,0 days 02:01:40,True
Terminal,2023-10-04 17:21:04,2023-10-04 18:05:47,0 days 00:44:43,True
VSCode,2024-09-20 22:56:43,2024-09-20 22:59:32,0 days 00:02:49,True
tiktok.com,2022-12-20 10:52:00,2022-12-20 14:47:43,0 days 03:55:43,False
Terminal,2023-07-03 05:07:47,2023-07-03 05:57:02,0 days 00:49:15,True
Terminal,2023-10-24 09:40:03,2023-10-24 12:20:38,0 days 02:40:35,True
tiktok.com,2022-02-07 23:33:15,2022-02-07 23:38:30,0 days 00:05:15,False
Terminal,2024-04-20 23:22:41,2024-04-20 23:53:54,0 days 00:31:13,True
VSCode,2024-09-03 20:58:29,2024-09-03 22:40:58,0 days 01:42:29,True
google.com,2022-08-03 07:16:13,2022-08-03 10:04:01,0 days 02:47:48,True
tiktok.com,2024-10-12 08:57:46,2024-10-12 12:29:29,0 days 03:31:43,False
VSCode,2021-12-25 02:42:30,2021-12-25 05:05:23,0 days 02:22:53,True
youtube.com,2022-01-10 13:47:19,2022-01-10 13:50:07,0 days 00:02:48,False
youtube.com,2023-12-06 16:57:48,2023-12-06 20:00:06,0 days 03:02:18,False
tiktok.com,2024-03-10 12:05:38,2024-03-10 14:05:04,0 days 01:59:26,False
youtube.com,2023-07-31 14:44:46,2023-07-31 14:58:51,0 days 00:14:05,False
VSCode,2023-12-29 15:40:43,2023-12-29 15:53:47,0 days 00:13:04,True
tiktok.com,2021-11-29 15:00:47,2021-11-29 17:32:32,0 days 02:31:45,False
Cursor,2022-01-04 08:45:47,2022-01-04 10:21:10,0 days 01:35:23,True
youtube.com,2022-02-17 00:43:20,2022-02-17 02:37:05,0 days 01:53:45,False
google.com,2022-06-18 17:03:38,2022-06-18 17:33:50,0 days 00:30:12,True
tiktok.com,2021-11-23 05:03:52,2021-11-23 05:29:50,0 days 00:25:58,False
VSCode,2023-07-26 13:39:00,2023-07-26 15:16:49,0 days 01:37:49,True
youtube.com,2024-08-24 05:54:51,2024-08-24 08:03:44,0 days 02:08:53,False
google.com,2022-04-16 09:43:33,2022-04-16 11:56:14,0 days 02:12:41,True
google.com,2024-04-16 18:41:06,2024-04-16 19:04:32,0 days 00:23:26,True
Cursor,2022-01-29 23:45:37,2022-01-30 01:19:24,0 days 01:33:47,True
youtube.com,2023-09-25 17:42:04,2023-09-25 19:36:43,0 days 01:54:39,False
google.com,2023-03-23 08:49:15,2023-03-23 09:51:19,0 days 01:02:04,True
VSCode,2022-02-17 23:38:05,2022-02-18 03:01:57,0 days 03:23:52,True
tiktok.com,2022-12-27 20:55:58,2022-12-28 00:03:08,0 days 03:07:10,False
tiktok.com,2023-08-20 21:24:56,2023-08-20 22:56:05,0 days 01:31:09,False
VSCode,2023-10-14 05:55:56,2023-10-14 07:20:25,0 days 01:24:29,True
Cursor,2024-08-23 01:00:43,2024-08-23 02:00:09,0 days 00:59:26,True
google.com,2022-09-16 08:04:03,2022-09-16 09:20:14,0 days 01:16:11,True
Cursor,2023-08-08 03:11:19,2023-08-08 05:07:22,0 days 01:56:03,True
Terminal,2022-07-20 07:58:40,2022-07-20 11:13:51,0 days 03:15:11,True
youtube.com,2022-11-29 14:48:22,2022-11-29 15:36:33,0 days 00:48:11,False
Terminal,2024-08-25 10:06:56,2024-08-25 13:23:19,0 days 03:16:23,True
google.com,2024-03-15 18:17:29,2024-03-15 19:24:35,0 days 01:07:06,True
google.com,2024-03-24 16:26:08,2024-03-24 16:49:17,0 days 00:23:09,True
youtube.com,2024-06-09 10:24:13,2024-06-09 13:08:26,0 days 02:44:13,False
google.com,2023-05-25 12:08:00,2023-05-25 15:34:28,0 days 03:26:28,True
Cursor,2023-06-14 18:14:56,2023-06-14 18:53:43,0 days 00:38:47,True
Cursor,2022-06-27 04:04:38,2022-06-27 06:13:30,0 days 02:08:52,True
Cursor,2024-01-09 20:51:59,2024-01-09 21:30:16,0 days 00:38:17,True
VSCode,2022-11-17 14:23:47,2022-11-17 17:46:06,0 days 03:22:19,True
Cursor,2023-05-22 00:59:43,2023-05-22 04:24:04,0 days 03:24:21,True
youtube.com,2023-02-06 21:11:25,2023-02-06 23:25:15,0 days 02:13:50,False
Terminal,2024-08-09 11:41:51,2024-08-09 14:05:06,0 days 02:23:15,True
VSCode,2024-09-25 19:41:02,2024-09-25 23:19:18,0 days 03:38:16,True
youtube.com,2024-09-16 04:09:37,2024-09-16 05:41:19,0 days 01:31:42,False
Cursor,2023-07-10 08:21:23,2023-07-10 10:09:31,0 days 01:48:08,True
Terminal,2022-11-22 07:21:14,2022-11-22 09:19:57,0 days 01:58:43,True
Terminal,2023-06-24 07:07:09,2023-06-24 09:56:18,0 days 02:49:09,True
youtube.com,2022-07-19 06:59:58,2022-07-19 07:21:26,0 days 00:21:28,False
youtube.com,2022-04-25 08:23:12,2022-04-25 11:34:36,0 days 03:11:24,False
tiktok.com,2024-07-12 02:27:37,2024-07-12 04:55:08,0 days 02:27:31,False
youtube.com,2024-10-16 07:18:17,2024-10-16 10:18:05,0 days 02:59:48,False
Terminal,2021-12-08 04:50:49,2021-12-08 05:37:34,0 days 00:46:45,True
youtube.com,2023-07-08 01:36:04,2023-07-08 04:26:00,0 days 02:49:56,False
Terminal,2024-01-08 21:15:42,2024-01-09 01:02:29,0 days 03:46:47,True
VSCode,2024-01-24 04:08:14,2024-01-24 05:30:23,0 days 01:22:09,True
VSCode,2024-10-24 21:07:38,2024-10-24 22:56:46,0 days 01:49:08,True
VSCode,2023-06-25 00:45:40,2023-06-25 00:52:49,0 days 00:07:09,True
VSCode,2024-07-10 04:06:13,2024-07-10 08:05:14,0 days 03:59:01,True
google.com,2022-07-08 17:59:44,2022-07-08 21:58:28,0 days 03:58:44,True
Cursor,2024-09-28 06:18:53,2024-09-28 10:12:54,0 days 03:54:01,True
youtube.com,2022-01-21 23:05:54,2022-01-22 01:52:49,0 days 02:46:55,False
google.com,2024-10-15 12:08:14,2024-10-15 14:09:44,0 days 02:01:30,True
VSCode,2023-12-31 09:15:29,2023-12-31 09:21:05,0 days 00:05:36,True
Terminal,2023-03-13 22:56:44,2023-03-14 02:27:52,0 days 03:31:08,True
google.com,2022-03-30 00:14:19,2022-03-30 03:34:48,0 days 03:20:29,True
youtube.com,2024-03-01 16:51:19,2024-03-01 20:39:24,0 days 03:48:05,False
Terminal,2022-05-30 09:54:43,2022-05-30 10:51:20,0 days 00:56:37,True
google.com,2022-08-08 16:59:49,2022-08-08 18:16:08,0 days 01:16:19,True
Cursor,2022-10-13 10:42:13,2022-10-13 14:24:23,0 days 03:42:10,True
Terminal,2022-03-09 05:16:01,2022-03-09 09:06:48,0 days 03:50:47,True
Terminal,2022-03-06 03:06:27,2022-03-06 06:54:18,0 days 03:47:51,True
Cursor,2022-12-28 22:28:45,2022-12-28 23:51:29,0 days 01:22:44,True
tiktok.com,2023-09-09 23:15:19,2023-09-10 02:15:35,0 days 03:00:16,False
youtube.com,2022-02-22 20:37:58,2022-02-22 23:34:37,0 days 02:56:39,False
Terminal,2023-07-02 05:22:16,2023-07-02 09:05:25,0 days 03:43:09,True
google.com,2024-10-02 12:47:12,2024-10-02 16:27:02,0 days 03:39:50,True
youtube.com,2022-11-01 18:02:01,2022-11-01 20:50:32,0 days 02:48:31,False
Terminal,2022-07-21 02:09:34,2022-07-21 02:22:47,0 days 00:13:13,True
google.com,2024-06-18 04:33:35,2024-06-18 07:31:49,0 days 02:58:14,True
Terminal,2023-09-15 15:11:32,2023-09-15 18:59:52,0 days 03:48:20,True
tiktok.com,2023-05-12 02:11:56,2023-05-12 02:22:48,0 days 00:10:52,False
Terminal,2023-09-08 11:20:31,2023-09-08 12:41:51,0 days 01:21:20,True
tiktok.com,2022-04-15 12:40:44,2022-04-15 14:42:57,0 days 02:02:13,False
Terminal,2024-02-16 20:54:50,2024-02-16 20:56:23,0 days 00:01:33,True
Terminal,2022-06-04 01:20:10,2022-06-04 01:39:40,0 days 00:19:30,True
Terminal,2022-07-02 07:34:21,2022-07-02 10:23:55,0 days 02:49:34,True
Terminal,2024-05-01 00:25:09,2024-05-01 00:48:33,0 days 00:23:24,True
Cursor,2021-11-09 02:51:46,2021-11-09 03:47:51,0 days 00:56:05,True
Terminal,2024-08-14 18:05:40,2024-08-14 20:35:38,0 days 02:29:58,True
VSCode,2024-06-03 18:02:30,2024-06-03 18:11:43,0 days 00:09:13,True
youtube.com,2023-10-16 14:48:03,2023-10-16 15:45:59,0 days 00:57:56,False
Terminal,2024-09-21 14:23:47,2024-09-21 16:25:57,0 days 02:02:10,True
Terminal,2022-02-17 14:51:43,2022-02-17 16:13:29,0 days 01:21:46,True
Terminal,2022-09-13 17:49:50,2022-09-13 18:54:30,0 days 01:04:40,True
tiktok.com,2022-12-29 21:38:33,2022-12-30 01:08:48,0 days 03:30:15,False
google.com,2023-11-04 21:12:11,2023-11-05 00:40:26,0 days 03:28:15,True
google.com,2022-12-24 21:01:47,2022-12-25 00:17:36,0 days 03:15:49,True
VSCode,2022-03-22 14:28:32,2022-03-22 16:33:27,0 days 02:04:55,True
tiktok.com,2022-06-01 23:10:15,2022-06-02 00:32:44,0 days 01:22:29,False
google.com,2022-07-21 09:42:16,2022-07-21 10:31:03,0 days 00:48:47,True
youtube.com,2022-03-26 16:13:30,2022-03-26 19:51:06,0 days 03:37:36,False
google.com,2023-03-15 01:12:11,2023-03-15 02:33:58,0 days 01:21:47,True
google.com,2022-02-10 07:59:13,2022-02-10 08:08:50,0 days 00:09:37,True
VSCode,2022-08-19 09:58:31,2022-08-19 13:32:08,0 days 03:33:37,True
VSCode,2022-07-16 09:55:52,2022-07-16 10:25:14,0 days 00:29:22,True
VSCode,2024-04-13 01:07:48,2024-04-13 04:45:13,0 days 03:37:25,True
google.com,2024-08-31 19:58:55,2024-08-31 20:44:20,0 days 00:45:25,True
